run_id,tokenizer,seed,best_val_loss,best_bpc,best_step,final_step,training_time_h,peak_vram_gb,tokens_per_sec,total_params,hardware
bpe_32k_s42,bpe_32k,42,4.403984,1.703897,12500,14499,3.3612,2.8258,39296.98,37100032,RTX_4050
bpe_16k_s42,bpe_16k,42,4.072959,1.729788,16500,18204,0.0979,3.549,46864.54,28908032,RTX_4050
morph_bpe_16k_s42,morph_bpe_16k,42,3.476209,1.759526,10500,12499,2.2596,1.9561,50297.99,28908032,RTX_4050
bpe_8k_s42,bpe_8k,42,3.841254,1.824984,10500,12499,2.1494,2.611,52841.54,24812032,RTX_4050
morph_bpe_8k_s42,morph_bpe_8k,42,3.322887,1.829851,13000,14999,2.6165,2.6403,51584.41,24812032,RTX_4050
char_s42,char,42,1.215111,2.114531,5500,7499,0.9743,0.7446,70864.78,20812288,RTX_4050
