step,train_loss,val_loss,bpc,lr,tokens_seen,tokens_per_sec,peak_vram_gb,elapsed_sec
1,9.097352,9.093100,4.325989,0.00000030,32768,3329.02,2.4262,9.84
2,9.093303,,,0.00000060,65536,6290.57,2.6110,10.42
3,9.093762,,,0.00000090,98304,8931.42,2.6110,11.01
4,9.087772,,,0.00000120,131072,11306.96,2.6110,11.59
5,9.079347,,,0.00000150,163840,13450.68,2.6110,12.18
6,9.081541,,,0.00000180,196608,15400.26,2.6110,12.77
7,9.079454,,,0.00000210,229376,17175.60,2.6110,13.35
8,9.063789,,,0.00000240,262144,18802.18,2.6110,13.94
9,9.062650,,,0.00000270,294912,20297.97,2.6110,14.53
10,9.055761,,,0.00000300,327680,21674.94,2.6110,15.12
11,9.044213,,,0.00000330,360448,22951.76,2.6110,15.70
12,9.042676,,,0.00000360,393216,24134.55,2.6110,16.29
13,9.026116,,,0.00000390,425984,25235.97,2.6110,16.88
14,9.012476,,,0.00000420,458752,26262.48,2.6110,17.47
15,9.006225,,,0.00000450,491520,27221.35,2.6110,18.06
16,8.989949,,,0.00000480,524288,28121.27,2.6110,18.64
17,8.985964,,,0.00000510,557056,28964.07,2.6110,19.23
18,8.976853,,,0.00000540,589824,29758.70,2.6110,19.82
19,8.962390,,,0.00000570,622592,30506.72,2.6110,20.41
20,8.942360,,,0.00000600,655360,31212.67,2.6110,21.00
21,8.924867,,,0.00000630,688128,31880.06,2.6110,21.58
22,8.914937,,,0.00000660,720896,32512.49,2.6110,22.17
23,8.906994,,,0.00000690,753664,33111.61,2.6110,22.76
24,8.893075,,,0.00000720,786432,33680.95,2.6110,23.35
25,8.868018,,,0.00000750,819200,34222.00,2.6110,23.94
26,8.862573,,,0.00000780,851968,34736.55,2.6110,24.53
27,8.838455,,,0.00000810,884736,35226.78,2.6110,25.12
28,8.838299,,,0.00000840,917504,35694.91,2.6110,25.70
29,8.822443,,,0.00000870,950272,36142.83,2.6110,26.29
30,8.810433,,,0.00000900,983040,36570.34,2.6110,26.88
31,8.792245,,,0.00000930,1015808,36978.97,2.6110,27.47
32,8.780844,,,0.00000960,1048576,37369.89,2.6110,28.06
33,8.759756,,,0.00000990,1081344,37745.68,2.6110,28.65
34,8.755341,,,0.00001020,1114112,38106.29,2.6110,29.24
35,8.732513,,,0.00001050,1146880,38452.68,2.6110,29.83
36,8.721623,,,0.00001080,1179648,38786.14,2.6110,30.41
37,8.709160,,,0.00001110,1212416,39105.96,2.6110,31.00
38,8.690386,,,0.00001140,1245184,39413.59,2.6110,31.59
39,8.702322,,,0.00001170,1277952,39709.96,2.6110,32.18
40,8.677615,,,0.00001200,1310720,39996.11,2.6110,32.77
41,8.667968,,,0.00001230,1343488,40271.44,2.6110,33.36
42,8.655425,,,0.00001260,1376256,40537.81,2.6110,33.95
43,8.656341,,,0.00001290,1409024,40794.26,2.6110,34.54
44,8.631079,,,0.00001320,1441792,41042.42,2.6110,35.13
45,8.622824,,,0.00001350,1474560,41282.32,2.6110,35.72
46,8.602812,,,0.00001380,1507328,41514.14,2.6110,36.31
47,8.615977,,,0.00001410,1540096,41738.27,2.6110,36.90
48,8.592688,,,0.00001440,1572864,41956.63,2.6110,37.49
49,8.584903,,,0.00001470,1605632,42167.13,2.6110,38.08
50,8.571560,,,0.00001500,1638400,42371.81,2.6110,38.67
51,8.559890,,,0.00001530,1671168,42569.31,2.6110,39.26
52,8.572336,,,0.00001560,1703936,42760.93,2.6110,39.85
53,8.568911,,,0.00001590,1736704,42948.45,2.6110,40.44
54,8.541781,,,0.00001620,1769472,43129.86,2.6110,41.03
55,8.546082,,,0.00001650,1802240,43306.44,2.6110,41.62
56,8.520203,,,0.00001680,1835008,43477.92,2.6110,42.21
57,8.508131,,,0.00001710,1867776,43644.04,2.6110,42.80
58,8.505841,,,0.00001740,1900544,43805.66,2.6110,43.39
59,8.490743,,,0.00001770,1933312,43963.08,2.6110,43.98
60,8.485970,,,0.00001800,1966080,44116.92,2.6110,44.57
61,8.502861,,,0.00001830,1998848,44266.51,2.6110,45.15
62,8.489748,,,0.00001860,2031616,44411.74,2.6110,45.75
63,8.457475,,,0.00001890,2064384,44553.47,2.6110,46.33
64,8.470644,,,0.00001920,2097152,44691.29,2.6110,46.93
65,8.470181,,,0.00001950,2129920,44826.22,2.6110,47.52
66,8.448457,,,0.00001980,2162688,44957.60,2.6110,48.11
67,8.451939,,,0.00002010,2195456,45086.27,2.6110,48.69
68,8.438612,,,0.00002040,2228224,45212.23,2.6110,49.28
69,8.444587,,,0.00002070,2260992,45333.93,2.6110,49.87
70,8.431331,,,0.00002100,2293760,45453.63,2.6110,50.46
71,8.408194,,,0.00002130,2326528,45569.15,2.6110,51.05
72,8.403548,,,0.00002160,2359296,45683.19,2.6110,51.64
73,8.400195,,,0.00002190,2392064,45794.23,2.6110,52.24
74,8.401849,,,0.00002220,2424832,45902.87,2.6110,52.83
75,8.381470,,,0.00002250,2457600,46009.16,2.6110,53.42
76,8.353927,,,0.00002280,2490368,46112.73,2.6110,54.01
77,8.379552,,,0.00002310,2523136,46214.62,2.6110,54.60
78,8.369210,,,0.00002340,2555904,46313.78,2.6110,55.19
79,8.352307,,,0.00002370,2588672,46410.98,2.6110,55.78
80,8.341663,,,0.00002400,2621440,46506.41,2.6110,56.37
