step,train_loss,val_loss,bpc,lr,tokens_seen,tokens_per_sec,peak_vram_gb,elapsed_sec
97,3.029145,,,0.00002910,3178496,70898.22,0.7446,44.83
98,3.014967,,,0.00002940,3211264,70928.28,0.7446,45.27
99,3.007681,,,0.00002970,3244032,70956.99,0.7446,45.72
100,3.011988,,,0.00003000,3276800,70987.60,0.7446,46.16
101,2.989680,,,0.00003030,3309568,71016.87,0.7446,46.60
102,2.999710,,,0.00003060,3342336,71043.51,0.7446,47.05
103,3.005165,,,0.00003090,3375104,71069.45,0.7446,47.49
104,2.982173,,,0.00003120,3407872,71097.47,0.7446,47.93
105,2.964794,,,0.00003150,3440640,71124.58,0.7446,48.37
106,2.980884,,,0.00003180,3473408,71149.77,0.7446,48.82
107,2.968219,,,0.00003210,3506176,71176.26,0.7446,49.26
108,2.933306,,,0.00003240,3538944,71200.10,0.7446,49.70
109,2.939780,,,0.00003270,3571712,71225.03,0.7446,50.15
110,2.962798,,,0.00003300,3604480,71248.49,0.7446,50.59
111,2.943430,,,0.00003330,3637248,71272.22,0.7446,51.03
112,2.933034,,,0.00003360,3670016,71293.26,0.7446,51.48
113,2.929232,,,0.00003390,3702784,71315.03,0.7446,51.92
114,2.912683,,,0.00003420,3735552,71338.04,0.7446,52.36
115,2.912872,,,0.00003450,3768320,71359.35,0.7446,52.81
116,2.913070,,,0.00003480,3801088,71381.23,0.7446,53.25
117,2.892640,,,0.00003510,3833856,71402.20,0.7446,53.69
118,2.908224,,,0.00003540,3866624,71423.29,0.7446,54.14
119,2.899801,,,0.00003570,3899392,71444.24,0.7446,54.58
120,2.885034,,,0.00003600,3932160,71463.54,0.7446,55.02
121,2.887452,,,0.00003630,3964928,71484.00,0.7446,55.47
122,2.867018,,,0.00003660,3997696,71502.67,0.7446,55.91
123,2.870611,,,0.00003690,4030464,71521.44,0.7446,56.35
124,2.871837,,,0.00003720,4063232,71538.48,0.7446,56.80
125,2.845551,,,0.00003750,4096000,71558.06,0.7446,57.24
126,2.851743,,,0.00003780,4128768,71575.57,0.7446,57.68
127,2.885765,,,0.00003810,4161536,71594.09,0.7446,58.13
128,2.845563,,,0.00003840,4194304,71611.77,0.7446,58.57
129,2.857818,,,0.00003870,4227072,71628.44,0.7446,59.01
130,2.848719,,,0.00003900,4259840,71645.49,0.7446,59.46
131,2.842345,,,0.00003930,4292608,71661.47,0.7446,59.90
132,2.840119,,,0.00003960,4325376,71677.43,0.7446,60.35
133,2.840954,,,0.00003990,4358144,71693.21,0.7446,60.79
134,2.833149,,,0.00004020,4390912,71709.01,0.7446,61.23
135,2.809311,,,0.00004050,4423680,71724.35,0.7446,61.68
136,2.837087,,,0.00004080,4456448,71739.47,0.7446,62.12
137,2.845724,,,0.00004110,4489216,71754.17,0.7446,62.56
138,2.811266,,,0.00004140,4521984,71769.16,0.7446,63.01
139,2.799533,,,0.00004170,4554752,71783.49,0.7446,63.45
140,2.820794,,,0.00004200,4587520,71797.52,0.7446,63.90
141,2.815158,,,0.00004230,4620288,71811.62,0.7446,64.34
142,2.797438,,,0.00004260,4653056,71824.71,0.7446,64.78
143,2.797687,,,0.00004290,4685824,71837.70,0.7446,65.23
144,2.791848,,,0.00004320,4718592,71851.79,0.7446,65.67
145,2.799122,,,0.00004350,4751360,71864.22,0.7446,66.12
146,2.810332,,,0.00004380,4784128,71876.76,0.7446,66.56
147,2.790091,,,0.00004410,4816896,71888.71,0.7446,67.00
148,2.789794,,,0.00004440,4849664,71902.23,0.7446,67.45
149,2.762537,,,0.00004470,4882432,71913.97,0.7446,67.89
150,2.774188,,,0.00004500,4915200,71926.63,0.7446,68.34
151,2.783241,,,0.00004530,4947968,71938.31,0.7446,68.78
152,2.754937,,,0.00004560,4980736,71950.15,0.7446,69.22
153,2.746762,,,0.00004590,5013504,71961.82,0.7446,69.67
154,2.746119,,,0.00004620,5046272,71972.62,0.7446,70.11
155,2.744702,,,0.00004650,5079040,71984.25,0.7446,70.56
156,2.767222,,,0.00004680,5111808,71994.91,0.7446,71.00
157,2.732163,,,0.00004710,5144576,72006.14,0.7446,71.45
158,2.735287,,,0.00004740,5177344,72015.89,0.7446,71.89
159,2.741080,,,0.00004770,5210112,72026.83,0.7446,72.34
160,2.732610,,,0.00004800,5242880,72037.22,0.7446,72.78
161,2.713653,,,0.00004830,5275648,72047.41,0.7446,73.22
162,2.732914,,,0.00004860,5308416,72057.57,0.7446,73.67
163,2.722975,,,0.00004890,5341184,72067.66,0.7446,74.11
164,2.713727,,,0.00004920,5373952,72077.72,0.7446,74.56
165,2.694033,,,0.00004950,5406720,72087.26,0.7446,75.00
166,2.700466,,,0.00004980,5439488,72096.73,0.7446,75.45
167,2.695453,,,0.00005010,5472256,72106.13,0.7446,75.89
168,2.683234,,,0.00005040,5505024,72115.64,0.7446,76.34
169,2.702858,,,0.00005070,5537792,72124.87,0.7446,76.78
170,2.699733,,,0.00005100,5570560,72134.18,0.7446,77.22
171,2.700073,,,0.00005130,5603328,72143.01,0.7446,77.67
172,2.686911,,,0.00005160,5636096,72152.01,0.7446,78.11
173,2.677570,,,0.00005190,5668864,72160.73,0.7446,78.56
174,2.672436,,,0.00005220,5701632,72169.68,0.7446,79.00
175,2.679711,,,0.00005250,5734400,72178.66,0.7446,79.45
176,2.673661,,,0.00005280,5767168,72187.25,0.7446,79.89
177,2.689201,,,0.00005310,5799936,72195.64,0.7446,80.34
178,2.665585,,,0.00005340,5832704,72203.96,0.7446,80.78
179,2.666709,,,0.00005370,5865472,72211.94,0.7446,81.23
180,2.651065,,,0.00005400,5898240,72220.29,0.7446,81.67
181,2.660799,,,0.00005430,5931008,72228.49,0.7446,82.11
182,2.672392,,,0.00005460,5963776,72236.20,0.7446,82.56
183,2.663202,,,0.00005490,5996544,72244.37,0.7446,83.00
184,2.670910,,,0.00005520,6029312,72252.01,0.7446,83.45
185,2.647200,,,0.00005550,6062080,72259.96,0.7446,83.89
186,2.656954,,,0.00005580,6094848,72266.99,0.7446,84.34
187,2.653321,,,0.00005610,6127616,72274.99,0.7446,84.78
188,2.652329,,,0.00005640,6160384,72282.00,0.7446,85.23
189,2.625034,,,0.00005670,6193152,72289.65,0.7446,85.67
190,2.655494,,,0.00005700,6225920,72296.62,0.7446,86.12
191,2.642730,,,0.00005730,6258688,72303.47,0.7446,86.56
192,2.659288,,,0.00005760,6291456,72310.86,0.7446,87.01
193,2.642162,,,0.00005790,6324224,72317.81,0.7446,87.45
194,2.635994,,,0.00005820,6356992,72325.33,0.7446,87.89
195,2.634484,,,0.00005850,6389760,72332.17,0.7446,88.34
196,2.626782,,,0.00005880,6422528,72338.78,0.7446,88.78
197,2.642501,,,0.00005910,6455296,72345.17,0.7446,89.23
198,2.646556,,,0.00005940,6488064,72351.59,0.7446,89.67
199,2.630004,,,0.00005970,6520832,72358.22,0.7446,90.12
200,2.620017,,,0.00006000,6553600,72364.55,0.7446,90.56
201,2.631483,,,0.00006030,6586368,72371.04,0.7446,91.01
202,2.635867,,,0.00006060,6619136,72377.34,0.7446,91.45
203,2.630630,,,0.00006090,6651904,72383.95,0.7446,91.90
204,2.642621,,,0.00006120,6684672,72390.40,0.7446,92.34
205,2.607410,,,0.00006150,6717440,72396.74,0.7446,92.79
206,2.624251,,,0.00006180,6750208,72402.65,0.7446,93.23
207,2.629850,,,0.00006210,6782976,72408.67,0.7446,93.68
208,2.630632,,,0.00006240,6815744,72414.64,0.7446,94.12
209,2.634903,,,0.00006270,6848512,72420.72,0.7446,94.57
210,2.607133,,,0.00006300,6881280,72426.61,0.7446,95.01
211,2.630750,,,0.00006330,6914048,72432.28,0.7446,95.46
212,2.621849,,,0.00006360,6946816,72437.93,0.7446,95.90
213,2.623542,,,0.00006390,6979584,72443.39,0.7446,96.35
214,2.631519,,,0.00006420,7012352,72449.14,0.7446,96.79
215,2.617841,,,0.00006450,7045120,72454.62,0.7446,97.23
216,2.615737,,,0.00006480,7077888,72460.35,0.7446,97.68
217,2.612014,,,0.00006510,7110656,72465.63,0.7446,98.12
218,2.622498,,,0.00006540,7143424,72471.52,0.7446,98.57
219,2.614747,,,0.00006570,7176192,72476.92,0.7446,99.01
220,2.610033,,,0.00006600,7208960,72482.38,0.7446,99.46
221,2.609932,,,0.00006630,7241728,72487.45,0.7446,99.90
222,2.620023,,,0.00006660,7274496,72492.62,0.7446,100.35
223,2.614606,,,0.00006690,7307264,72497.66,0.7446,100.79
224,2.608207,,,0.00006720,7340032,72502.62,0.7446,101.24
225,2.622122,,,0.00006750,7372800,72507.43,0.7446,101.68
226,2.594245,,,0.00006780,7405568,72512.23,0.7446,102.13
227,2.617314,,,0.00006810,7438336,72517.36,0.7446,102.57
228,2.603429,,,0.00006840,7471104,72521.85,0.7446,103.02
229,2.601262,,,0.00006870,7503872,72526.89,0.7446,103.46
230,2.600583,,,0.00006900,7536640,72531.70,0.7446,103.91
231,2.593341,,,0.00006930,7569408,72536.24,0.7446,104.35
232,2.589399,,,0.00006960,7602176,72540.69,0.7446,104.80
233,2.601204,,,0.00006990,7634944,72544.17,0.7446,105.25
234,2.602261,,,0.00007020,7667712,72548.96,0.7446,105.69
235,2.593708,,,0.00007050,7700480,72553.10,0.7446,106.14
236,2.604361,,,0.00007080,7733248,72557.71,0.7446,106.58
237,2.602316,,,0.00007110,7766016,72561.99,0.7446,107.03
238,2.605800,,,0.00007140,7798784,72566.81,0.7446,107.47
239,2.592372,,,0.00007170,7831552,72571.26,0.7446,107.92
240,2.591433,,,0.00007200,7864320,72575.51,0.7446,108.36
241,2.587389,,,0.00007230,7897088,72579.90,0.7446,108.81
242,2.583594,,,0.00007260,7929856,72584.01,0.7446,109.25
243,2.605206,,,0.00007290,7962624,72588.54,0.7446,109.70
244,2.605143,,,0.00007320,7995392,72592.47,0.7446,110.14
245,2.584471,,,0.00007350,8028160,72596.73,0.7446,110.59
246,2.607599,,,0.00007380,8060928,72600.88,0.7446,111.03
247,2.579043,,,0.00007410,8093696,72604.20,0.7446,111.48
248,2.603276,,,0.00007440,8126464,72608.28,0.7446,111.92
249,2.565037,,,0.00007470,8159232,72612.03,0.7446,112.37
250,2.593481,,,0.00007500,8192000,72616.07,0.7446,112.81
251,2.578030,,,0.00007530,8224768,72619.73,0.7446,113.26
252,2.585659,,,0.00007560,8257536,72623.57,0.7446,113.70
253,2.581136,,,0.00007590,8290304,72627.16,0.7446,114.15
254,2.604259,,,0.00007620,8323072,72630.97,0.7446,114.59
255,2.572246,,,0.00007650,8355840,72634.43,0.7446,115.04
256,2.599925,,,0.00007680,8388608,72638.04,0.7446,115.49
257,2.585225,,,0.00007710,8421376,72641.61,0.7446,115.93
258,2.564180,,,0.00007740,8454144,72645.27,0.7446,116.38
259,2.597989,,,0.00007770,8486912,72648.42,0.7446,116.82
260,2.588238,,,0.00007800,8519680,72651.89,0.7446,117.27
261,2.580041,,,0.00007830,8552448,72655.71,0.7446,117.71
262,2.572386,,,0.00007860,8585216,72659.12,0.7446,118.16
263,2.596190,,,0.00007890,8617984,72662.58,0.7446,118.60
264,2.591664,,,0.00007920,8650752,72665.68,0.7446,119.05
265,2.571331,,,0.00007950,8683520,72669.17,0.7446,119.49
266,2.568596,,,0.00007980,8716288,72672.15,0.7446,119.94
267,2.577147,,,0.00008010,8749056,72675.54,0.7446,120.39
268,2.570161,,,0.00008040,8781824,72678.30,0.7446,120.83
