step,train_loss,val_loss,lr,tokens_seen,elapsed_sec
151,5.115609,,0.00019635,309248,2.11
152,5.246435,,0.00019456,311296,2.12
153,5.192342,,0.00019275,313344,2.14
154,5.210687,,0.00019094,315392,2.15
155,5.206289,,0.00018913,317440,2.16
156,5.139803,,0.00018730,319488,2.17
157,5.137030,,0.00018547,321536,2.18
158,5.105948,,0.00018364,323584,2.20
159,5.273382,,0.00018180,325632,2.21
160,5.204569,,0.00017996,327680,2.22
161,5.173439,,0.00017811,329728,2.23
162,5.094424,,0.00017625,331776,2.24
163,5.181790,,0.00017440,333824,2.25
164,5.160950,,0.00017253,335872,2.27
165,5.171511,,0.00017067,337920,2.28
166,5.123307,,0.00016880,339968,2.29
167,5.198833,,0.00016693,342016,2.30
168,5.259973,,0.00016505,344064,2.32
169,5.217466,,0.00016318,346112,2.33
170,5.165038,,0.00016130,348160,2.34
171,5.100284,,0.00015942,350208,2.35
172,5.065600,,0.00015754,352256,2.37
173,5.128050,,0.00015565,354304,2.38
174,5.105326,,0.00015377,356352,2.40
175,5.027890,,0.00015188,358400,2.41
176,5.119063,,0.00015000,360448,2.43
177,5.288646,,0.00014812,362496,2.44
178,5.214077,,0.00014623,364544,2.45
179,5.222709,,0.00014435,366592,2.47
180,5.232619,,0.00014246,368640,2.48
181,5.150529,,0.00014058,370688,2.50
182,5.201663,,0.00013870,372736,2.51
183,5.075677,,0.00013682,374784,2.52
184,5.257655,,0.00013495,376832,2.53
185,5.105625,,0.00013307,378880,2.55
186,5.118465,,0.00013120,380928,2.56
187,5.125932,,0.00012933,382976,2.57
188,5.162354,,0.00012747,385024,2.58
189,5.192876,,0.00012560,387072,2.60
190,5.072793,,0.00012375,389120,2.61
191,5.120490,,0.00012189,391168,2.62
192,5.191451,,0.00012004,393216,2.64
193,5.169236,,0.00011820,395264,2.65
194,5.158045,,0.00011636,397312,2.66
195,5.087983,,0.00011453,399360,2.68
196,5.101766,,0.00011270,401408,2.69
197,5.093961,,0.00011087,403456,2.71
198,5.176909,,0.00010906,405504,2.72
199,5.046179,,0.00010725,407552,2.74
200,5.210055,2.568664,0.00010544,409600,2.81
201,5.096165,,0.00010365,411648,2.83
202,5.301481,,0.00010186,413696,2.84
203,5.023840,,0.00010008,415744,2.86
204,5.097563,,0.00009830,417792,2.87
205,5.059109,,0.00009654,419840,2.89
206,5.081778,,0.00009478,421888,2.90
207,5.147555,,0.00009303,423936,2.91
208,5.071891,,0.00009129,425984,2.92
209,5.207057,,0.00008956,428032,2.94
210,5.059187,,0.00008784,430080,2.95
211,5.154517,,0.00008613,432128,2.96
212,5.126104,,0.00008443,434176,2.97
213,5.115230,,0.00008274,436224,2.99
214,5.222095,,0.00008106,438272,3.00
215,5.160024,,0.00007939,440320,3.01
216,5.092971,,0.00007774,442368,3.02
217,5.091629,,0.00007609,444416,3.04
218,5.182815,,0.00007446,446464,3.05
219,5.128720,,0.00007283,448512,3.06
220,5.143816,,0.00007122,450560,3.07
221,5.098601,,0.00006963,452608,3.08
222,5.121726,,0.00006804,454656,3.10
223,5.124571,,0.00006647,456704,3.11
224,5.144074,,0.00006491,458752,3.12
225,5.210784,,0.00006336,460800,3.13
226,5.160944,,0.00006183,462848,3.14
227,5.039322,,0.00006031,464896,3.15
228,5.223145,,0.00005881,466944,3.16
229,5.137435,,0.00005732,468992,3.17
230,5.079559,,0.00005585,471040,3.19
231,5.121895,,0.00005439,473088,3.20
232,5.095889,,0.00005294,475136,3.21
233,5.038377,,0.00005151,477184,3.22
234,5.027237,,0.00005010,479232,3.23
235,5.078545,,0.00004870,481280,3.24
236,5.074625,,0.00004732,483328,3.25
237,5.089517,,0.00004595,485376,3.26
238,5.096386,,0.00004460,487424,3.27
239,5.190103,,0.00004327,489472,3.29
240,5.144327,,0.00004195,491520,3.30
241,5.140586,,0.00004065,493568,3.31
242,5.226130,,0.00003937,495616,3.32
243,5.121418,,0.00003811,497664,3.33
244,5.157687,,0.00003686,499712,3.34
245,5.206430,,0.00003563,501760,3.35
246,5.085595,,0.00003442,503808,3.37
247,5.117743,,0.00003323,505856,3.38
248,5.154949,,0.00003206,507904,3.39
249,5.107992,,0.00003090,509952,3.40
250,5.058034,2.541167,0.00002976,512000,3.47
251,5.058657,,0.00002865,514048,3.48
252,5.213794,,0.00002755,516096,3.49
