step,train_loss,val_loss,lr,tokens_seen,elapsed_sec
1,20.853401,10.429790,0.00000600,2048,0.47
2,20.864899,,0.00001200,4096,0.50
3,20.844177,,0.00001800,6144,0.53
4,20.822052,,0.00002400,8192,0.56
5,20.831932,,0.00003000,10240,0.59
6,20.812630,,0.00003600,12288,0.62
7,20.774292,,0.00004200,14336,0.65
8,20.766670,,0.00004800,16384,0.69
9,20.702194,,0.00005400,18432,0.72
10,20.698517,,0.00006000,20480,0.75
11,20.649712,,0.00006600,22528,0.78
12,20.628220,,0.00007200,24576,0.81
13,20.506866,,0.00007800,26624,0.84
14,20.467110,,0.00008400,28672,0.88
15,20.432526,,0.00009000,30720,0.91
16,20.376122,,0.00009600,32768,0.94
17,20.343681,,0.00010200,34816,0.97
18,20.233177,,0.00010800,36864,1.00
19,20.294281,,0.00011400,38912,1.03
20,20.157001,,0.00012000,40960,1.07
21,19.977921,,0.00012600,43008,1.10
22,20.117264,,0.00013200,45056,1.13
23,19.993832,,0.00013800,47104,1.16
24,19.994396,,0.00014400,49152,1.19
25,19.852097,,0.00015000,51200,1.22
26,19.812370,,0.00015600,53248,1.25
27,19.745480,,0.00016200,55296,1.29
28,19.658310,,0.00016800,57344,1.32
29,19.738125,,0.00017400,59392,1.35
30,19.619366,,0.00018000,61440,1.38
31,19.556736,,0.00018600,63488,1.41
32,19.520111,,0.00019200,65536,1.45
33,19.391403,,0.00019800,67584,1.48
34,19.343533,,0.00020400,69632,1.51
35,19.216930,,0.00021000,71680,1.54
36,19.221550,,0.00021600,73728,1.57
37,19.175613,,0.00022200,75776,1.60
38,19.105206,,0.00022800,77824,1.64
39,19.053024,,0.00023400,79872,1.67
40,18.912804,,0.00024000,81920,1.70
41,18.954231,,0.00024600,83968,1.73
42,18.795048,,0.00025200,86016,1.76
43,18.750145,,0.00025800,88064,1.80
44,18.774212,,0.00026400,90112,1.83
45,18.455475,,0.00027000,92160,1.86
46,18.511692,,0.00027600,94208,1.89
47,18.598133,,0.00028200,96256,1.92
48,18.585625,,0.00028800,98304,1.95
49,18.285679,,0.00029400,100352,1.99
50,18.221062,9.117727,0.00030000,102400,2.30
51,18.222271,,0.00030000,104448,2.33
52,18.051773,,0.00029999,106496,2.36
53,18.101440,,0.00029995,108544,2.39
54,18.129108,,0.00029989,110592,2.43
55,17.973312,,0.00029981,112640,2.46
56,17.873867,,0.00029970,114688,2.49
57,17.768955,,0.00029957,116736,2.52
58,17.789612,,0.00029942,118784,2.55
59,17.756271,,0.00029924,120832,2.58
60,17.656437,,0.00029904,122880,2.62
61,17.707821,,0.00029882,124928,2.65
62,17.737717,,0.00029857,126976,2.68
63,17.643421,,0.00029830,129024,2.71
64,17.678543,,0.00029800,131072,2.74
65,17.456741,,0.00029768,133120,2.77
66,17.564400,,0.00029734,135168,2.81
67,17.355499,,0.00029698,137216,2.84
68,17.195290,,0.00029659,139264,2.87
69,17.550102,,0.00029618,141312,2.90
70,17.090359,,0.00029574,143360,2.93
71,16.988237,,0.00029529,145408,2.96
72,17.212498,,0.00029481,147456,3.00
73,17.131250,,0.00029430,149504,3.03
74,17.289072,,0.00029378,151552,3.06
75,17.035622,,0.00029323,153600,3.09
76,17.212547,,0.00029266,155648,3.12
77,17.236017,,0.00029206,157696,3.15
78,17.201321,,0.00029145,159744,3.19
79,17.135580,,0.00029081,161792,3.22
80,17.210979,,0.00029015,163840,3.25
81,16.936113,,0.00028947,165888,3.28
82,17.015343,,0.00028876,167936,3.31
83,16.805361,,0.00028803,169984,3.35
84,17.118435,,0.00028729,172032,3.38
85,16.833128,,0.00028652,174080,3.41
86,16.617716,,0.00028572,176128,3.44
87,17.039032,,0.00028491,178176,3.48
88,17.059843,,0.00028408,180224,3.51
89,16.845055,,0.00028322,182272,3.54
90,16.811892,,0.00028234,184320,3.57
91,16.788813,,0.00028145,186368,3.60
92,16.991657,,0.00028053,188416,3.64
93,16.774515,,0.00027959,190464,3.67
94,16.969337,,0.00027863,192512,3.70
95,16.891762,,0.00027765,194560,3.73
96,16.787447,,0.00027665,196608,3.77
97,16.770834,,0.00027563,198656,3.80
98,17.014708,,0.00027459,200704,3.83
99,16.793806,,0.00027353,202752,3.86
100,17.090769,8.458382,0.00027245,204800,4.10
101,17.120531,,0.00027135,206848,4.13
102,16.877684,,0.00027024,208896,4.16
103,16.709236,,0.00026910,210944,4.19
104,16.979946,,0.00026794,212992,4.22
105,16.967068,,0.00026677,215040,4.26
106,16.940643,,0.00026558,217088,4.29
107,16.968311,,0.00026437,219136,4.32
108,16.773628,,0.00026314,221184,4.35
109,16.829821,,0.00026189,223232,4.38
110,16.772787,,0.00026063,225280,4.42
111,17.072418,,0.00025935,227328,4.45
112,16.777256,,0.00025805,229376,4.48
113,16.847643,,0.00025673,231424,4.51
114,16.885948,,0.00025540,233472,4.54
115,16.888021,,0.00025405,235520,4.58
116,17.011335,,0.00025268,237568,4.61
117,17.028364,,0.00025130,239616,4.64
118,16.972044,,0.00024990,241664,4.67
119,16.981144,,0.00024849,243712,4.70
120,16.828362,,0.00024706,245760,4.74
121,17.177681,,0.00024561,247808,4.77
122,16.975605,,0.00024415,249856,4.80
123,16.797249,,0.00024268,251904,4.83
124,16.799152,,0.00024119,253952,4.86
125,16.754259,,0.00023969,256000,4.89
126,16.883211,,0.00023817,258048,4.93
127,16.734659,,0.00023664,260096,4.96
128,16.921324,,0.00023509,262144,4.99
129,16.900890,,0.00023353,264192,5.02
130,16.821695,,0.00023196,266240,5.05
131,16.910772,,0.00023037,268288,5.09
132,16.915800,,0.00022878,270336,5.12
133,16.734058,,0.00022717,272384,5.15
134,17.041731,,0.00022554,274432,5.18
135,17.090200,,0.00022391,276480,5.21
136,16.987785,,0.00022226,278528,5.25
137,17.125036,,0.00022061,280576,5.28
138,16.997547,,0.00021894,282624,5.31
139,16.881773,,0.00021726,284672,5.34
140,16.981215,,0.00021557,286720,5.37
141,16.885204,,0.00021387,288768,5.41
142,16.726145,,0.00021216,290816,5.44
143,16.917301,,0.00021044,292864,5.47
144,16.773344,,0.00020871,294912,5.50
145,16.838652,,0.00020697,296960,5.53
146,16.848335,,0.00020522,299008,5.56
147,16.868263,,0.00020346,301056,5.60
148,16.801718,,0.00020170,303104,5.63
149,16.756384,,0.00019992,305152,5.66
150,16.800783,8.436578,0.00019814,307200,5.88
151,16.919571,,0.00019635,309248,5.91
152,16.604124,,0.00019456,311296,5.94
153,16.725792,,0.00019275,313344,5.97
154,16.790241,,0.00019094,315392,6.01
155,16.671282,,0.00018913,317440,6.04
156,16.927561,,0.00018730,319488,6.07
157,16.747482,,0.00018547,321536,6.10
158,16.840639,,0.00018364,323584,6.14
159,16.784166,,0.00018180,325632,6.17
160,17.122574,,0.00017996,327680,6.20
161,16.875723,,0.00017811,329728,6.23
162,16.693235,,0.00017625,331776,6.26
163,16.797400,,0.00017440,333824,6.30
164,16.730303,,0.00017253,335872,6.33
165,16.886879,,0.00017067,337920,6.36
166,16.706821,,0.00016880,339968,6.39
167,16.457315,,0.00016693,342016,6.42
168,16.847387,,0.00016505,344064,6.46
169,16.953438,,0.00016318,346112,6.49
170,16.613441,,0.00016130,348160,6.52
171,16.881351,,0.00015942,350208,6.55
172,16.877701,,0.00015754,352256,6.58
173,16.707510,,0.00015565,354304,6.61
174,16.592287,,0.00015377,356352,6.65
175,16.802725,,0.00015188,358400,6.68
176,16.742136,,0.00015000,360448,6.71
177,16.979902,,0.00014812,362496,6.74
178,16.735048,,0.00014623,364544,6.77
179,16.864256,,0.00014435,366592,6.80
180,16.946756,,0.00014246,368640,6.84
181,16.819862,,0.00014058,370688,6.87
182,16.800261,,0.00013870,372736,6.90
183,16.973019,,0.00013682,374784,6.93
184,16.638399,,0.00013495,376832,6.96
185,16.976196,,0.00013307,378880,7.00
186,16.488119,,0.00013120,380928,7.03
187,16.852022,,0.00012933,382976,7.06
188,16.904224,,0.00012747,385024,7.09
189,17.117573,,0.00012560,387072,7.12
190,16.700630,,0.00012375,389120,7.16
191,16.664160,,0.00012189,391168,7.19
192,16.714827,,0.00012004,393216,7.22
193,16.424509,,0.00011820,395264,7.25
194,16.863895,,0.00011636,397312,7.28
195,16.644413,,0.00011453,399360,7.32
196,16.759375,,0.00011270,401408,7.35
197,16.710720,,0.00011087,403456,7.38
198,16.822855,,0.00010906,405504,7.41
199,16.698349,,0.00010725,407552,7.44
200,16.670443,8.353262,0.00010544,409600,7.67
201,16.649952,,0.00010365,411648,7.70
202,16.378298,,0.00010186,413696,7.73
203,16.668922,,0.00010008,415744,7.77
204,16.611206,,0.00009830,417792,7.80
205,16.723661,,0.00009654,419840,7.83
206,16.834875,,0.00009478,421888,7.86
207,16.686867,,0.00009303,423936,7.89
208,16.475378,,0.00009129,425984,7.92
209,16.856106,,0.00008956,428032,7.96
210,16.624489,,0.00008784,430080,7.99
211,16.416225,,0.00008613,432128,8.02
212,16.764000,,0.00008443,434176,8.05
213,16.459402,,0.00008274,436224,8.08
214,16.334442,,0.00008106,438272,8.12
215,16.871120,,0.00007939,440320,8.15
216,16.537975,,0.00007774,442368,8.18
217,16.480167,,0.00007609,444416,8.21
218,16.755728,,0.00007446,446464,8.24
219,16.777451,,0.00007283,448512,8.27
220,16.916508,,0.00007122,450560,8.31
221,16.819323,,0.00006963,452608,8.34
222,16.882957,,0.00006804,454656,8.37
223,16.595448,,0.00006647,456704,8.40
224,16.539114,,0.00006491,458752,8.43
225,16.775381,,0.00006336,460800,8.47
226,16.618591,,0.00006183,462848,8.50
227,16.425308,,0.00006031,464896,8.53
228,16.622366,,0.00005881,466944,8.56
229,16.717363,,0.00005732,468992,8.59
230,16.459263,,0.00005585,471040,8.63
231,16.754927,,0.00005439,473088,8.66
232,16.531082,,0.00005294,475136,8.69
233,16.832827,,0.00005151,477184,8.72
234,16.624210,,0.00005010,479232,8.75
235,16.532774,,0.00004870,481280,8.79
236,16.311436,,0.00004732,483328,8.82
237,16.828051,,0.00004595,485376,8.85
238,16.752325,,0.00004460,487424,8.88
239,16.542936,,0.00004327,489472,8.91
240,16.718447,,0.00004195,491520,8.95
241,16.820662,,0.00004065,493568,8.98
242,16.418810,,0.00003937,495616,9.01
243,16.538477,,0.00003811,497664,9.04
244,16.933743,,0.00003686,499712,9.08
245,16.530115,,0.00003563,501760,9.11
246,16.706926,,0.00003442,503808,9.14
247,16.786991,,0.00003323,505856,9.17
248,16.711454,,0.00003206,507904,9.20
249,16.573881,,0.00003090,509952,9.24
250,16.485603,8.332104,0.00002976,512000,9.48
251,16.518997,,0.00002865,514048,9.51
252,16.576796,,0.00002755,516096,9.54
253,16.586115,,0.00002647,518144,9.57
254,16.513323,,0.00002541,520192,9.61
255,16.721550,,0.00002437,522240,9.64
256,16.784704,,0.00002335,524288,9.67
257,16.564615,,0.00002235,526336,9.70
258,16.563862,,0.00002137,528384,9.74
259,16.520367,,0.00002041,530432,9.77
260,16.534550,,0.00001947,532480,9.81
261,17.064095,,0.00001855,534528,9.84
262,16.800413,,0.00001766,536576,9.87
263,16.514126,,0.00001678,538624,9.90
264,16.806576,,0.00001592,540672,9.93
265,16.372450,,0.00001509,542720,9.97
266,16.633018,,0.00001428,544768,10.00
267,16.814766,,0.00001348,546816,10.03
268,16.580297,,0.00001271,548864,10.06
269,16.448444,,0.00001197,550912,10.10
270,16.289202,,0.00001124,552960,10.13
271,16.526503,,0.00001053,555008,10.16
272,16.507231,,0.00000985,557056,10.20
273,16.699280,,0.00000919,559104,10.23
274,16.855358,,0.00000855,561152,10.26
275,16.594809,,0.00000794,563200,10.29
276,16.633867,,0.00000734,565248,10.32
277,16.754112,,0.00000677,567296,10.36
278,16.938065,,0.00000622,569344,10.39
279,16.766840,,0.00000570,571392,10.42
280,16.808975,,0.00000519,573440,10.45
281,16.590601,,0.00000471,575488,10.49
282,16.082167,,0.00000426,577536,10.52
283,16.701626,,0.00000382,579584,10.55
284,16.651836,,0.00000341,581632,10.58
285,16.644526,,0.00000302,583680,10.61
286,16.686687,,0.00000266,585728,10.65
287,16.624731,,0.00000232,587776,10.68
288,16.688145,,0.00000200,589824,10.71
289,16.611641,,0.00000170,591872,10.74
290,16.682268,,0.00000143,593920,10.77
291,16.636189,,0.00000118,595968,10.81
292,16.582392,,0.00000096,598016,10.84
293,16.603603,,0.00000076,600064,10.87
294,16.835348,,0.00000058,602112,10.90
295,16.554754,,0.00000043,604160,10.93
296,16.712395,,0.00000030,606208,10.96
297,16.502962,,0.00000019,608256,11.00
298,16.625910,,0.00000011,610304,11.03
299,16.449263,,0.00000005,612352,11.06
300,16.503777,8.331104,0.00000001,614400,11.27
