step,train_loss,val_loss,lr,tokens_seen,elapsed_sec
1,18.025146,9.024859,0.00000600,2048,0.31
2,18.048405,,0.00001200,4096,0.33
3,18.057892,,0.00001800,6144,0.34
4,18.004517,,0.00002400,8192,0.36
5,18.008747,,0.00003000,10240,0.37
6,17.994595,,0.00003600,12288,0.39
7,17.994175,,0.00004200,14336,0.41
8,17.930855,,0.00004800,16384,0.42
9,17.916447,,0.00005400,18432,0.44
10,17.864449,,0.00006000,20480,0.45
11,17.798073,,0.00006600,22528,0.47
12,17.736374,,0.00007200,24576,0.48
13,17.712505,,0.00007800,26624,0.50
14,17.622837,,0.00008400,28672,0.51
15,17.600048,,0.00009000,30720,0.53
16,17.441879,,0.00009600,32768,0.54
17,17.454136,,0.00010200,34816,0.56
18,17.341438,,0.00010800,36864,0.57
19,17.303505,,0.00011400,38912,0.59
20,17.251122,,0.00012000,40960,0.60
21,17.195545,,0.00012600,43008,0.62
22,17.083191,,0.00013200,45056,0.63
23,17.067200,,0.00013800,47104,0.65
24,16.997162,,0.00014400,49152,0.66
25,16.959858,,0.00015000,51200,0.68
26,16.851715,,0.00015600,53248,0.69
27,16.829922,,0.00016200,55296,0.71
28,16.790920,,0.00016800,57344,0.72
29,16.737534,,0.00017400,59392,0.74
30,16.593338,,0.00018000,61440,0.75
31,16.531521,,0.00018600,63488,0.77
32,16.534145,,0.00019200,65536,0.79
33,16.394176,,0.00019800,67584,0.80
34,16.355179,,0.00020400,69632,0.82
35,16.289204,,0.00021000,71680,0.83
36,16.236698,,0.00021600,73728,0.85
37,16.171757,,0.00022200,75776,0.86
38,16.049561,,0.00022800,77824,0.88
39,15.980595,,0.00023400,79872,0.89
40,16.016899,,0.00024000,81920,0.91
41,15.811401,,0.00024600,83968,0.92
42,15.836613,,0.00025200,86016,0.94
43,15.748592,,0.00025800,88064,0.95
44,15.696484,,0.00026400,90112,0.97
45,15.679325,,0.00027000,92160,0.98
46,15.545216,,0.00027600,94208,1.00
47,15.449944,,0.00028200,96256,1.01
48,15.334236,,0.00028800,98304,1.03
49,15.257992,,0.00029400,100352,1.04
50,15.156384,7.555405,0.00030000,102400,1.15
51,15.090305,,0.00030000,104448,1.17
52,14.997696,,0.00029999,106496,1.18
53,14.915260,,0.00029995,108544,1.20
54,14.699589,,0.00029989,110592,1.22
55,14.887535,,0.00029981,112640,1.23
56,14.715935,,0.00029970,114688,1.25
57,14.678646,,0.00029957,116736,1.26
58,14.589357,,0.00029942,118784,1.28
59,14.679361,,0.00029924,120832,1.29
60,14.492897,,0.00029904,122880,1.31
61,14.490715,,0.00029882,124928,1.32
62,14.458439,,0.00029857,126976,1.34
63,14.366756,,0.00029830,129024,1.35
