step,train_loss,val_loss,lr,tokens_seen,elapsed_sec
151,14.562533,,0.00019635,309248,3.81
152,14.493550,,0.00019456,311296,3.83
153,14.276509,,0.00019275,313344,3.85
154,14.346648,,0.00019094,315392,3.87
155,14.447220,,0.00018913,317440,3.89
156,14.321424,,0.00018730,319488,3.91
157,14.556742,,0.00018547,321536,3.93
158,14.307015,,0.00018364,323584,3.96
159,14.593134,,0.00018180,325632,3.98
160,14.586294,,0.00017996,327680,4.00
161,14.588578,,0.00017811,329728,4.02
162,14.355912,,0.00017625,331776,4.04
163,14.370187,,0.00017440,333824,4.06
164,14.404779,,0.00017253,335872,4.08
165,14.225085,,0.00017067,337920,4.10
166,14.297741,,0.00016880,339968,4.12
167,14.108367,,0.00016693,342016,4.14
168,14.458360,,0.00016505,344064,4.16
169,14.391277,,0.00016318,346112,4.18
170,14.481285,,0.00016130,348160,4.20
171,14.175982,,0.00015942,350208,4.23
172,14.176742,,0.00015754,352256,4.25
173,14.187304,,0.00015565,354304,4.27
174,14.534020,,0.00015377,356352,4.29
175,14.050499,,0.00015188,358400,4.31
176,14.169911,,0.00015000,360448,4.33
177,14.263227,,0.00014812,362496,4.35
178,14.098336,,0.00014623,364544,4.37
179,13.926701,,0.00014435,366592,4.39
180,14.156204,,0.00014246,368640,4.41
181,14.157618,,0.00014058,370688,4.43
182,14.271382,,0.00013870,372736,4.45
183,14.322918,,0.00013682,374784,4.47
184,14.165076,,0.00013495,376832,4.50
185,14.257542,,0.00013307,378880,4.52
186,14.304151,,0.00013120,380928,4.54
187,14.263454,,0.00012933,382976,4.56
188,14.462561,,0.00012747,385024,4.58
189,14.066386,,0.00012560,387072,4.60
190,14.159407,,0.00012375,389120,4.62
191,14.186223,,0.00012189,391168,4.64
192,14.302715,,0.00012004,393216,4.66
193,13.888542,,0.00011820,395264,4.68
194,14.395824,,0.00011636,397312,4.70
195,14.223807,,0.00011453,399360,4.72
196,14.251224,,0.00011270,401408,4.74
197,14.002760,,0.00011087,403456,4.77
198,14.084210,,0.00010906,405504,4.79
199,14.122637,,0.00010725,407552,4.81
200,14.151989,7.093033,0.00010544,409600,4.96
201,14.039535,,0.00010365,411648,4.98
202,14.656498,,0.00010186,413696,5.00
203,14.389621,,0.00010008,415744,5.02
204,14.274676,,0.00009830,417792,5.04
205,14.260201,,0.00009654,419840,5.06
206,14.197817,,0.00009478,421888,5.08
207,14.251539,,0.00009303,423936,5.11
208,14.060293,,0.00009129,425984,5.13
209,13.961460,,0.00008956,428032,5.15
210,14.245832,,0.00008784,430080,5.17
211,14.391685,,0.00008613,432128,5.19
212,14.077394,,0.00008443,434176,5.21
213,14.146187,,0.00008274,436224,5.23
214,14.301654,,0.00008106,438272,5.25
215,14.143064,,0.00007939,440320,5.27
216,14.007439,,0.00007774,442368,5.29
217,14.277449,,0.00007609,444416,5.31
218,13.859474,,0.00007446,446464,5.33
219,14.011408,,0.00007283,448512,5.35
220,14.135964,,0.00007122,450560,5.37
221,14.018074,,0.00006963,452608,5.39
222,13.868827,,0.00006804,454656,5.41
223,13.823242,,0.00006647,456704,5.44
224,13.946140,,0.00006491,458752,5.46
225,13.892896,,0.00006336,460800,5.48
226,13.997589,,0.00006183,462848,5.50
227,14.150813,,0.00006031,464896,5.52
228,14.316256,,0.00005881,466944,5.54
229,14.231884,,0.00005732,468992,5.56
230,13.949688,,0.00005585,471040,5.58
231,14.156450,,0.00005439,473088,5.60
232,14.230717,,0.00005294,475136,5.62
233,14.295967,,0.00005151,477184,5.64
234,14.313646,,0.00005010,479232,5.66
235,14.071534,,0.00004870,481280,5.68
236,14.154215,,0.00004732,483328,5.70
237,13.968497,,0.00004595,485376,5.72
238,14.069728,,0.00004460,487424,5.74
239,13.944139,,0.00004327,489472,5.77
240,14.089292,,0.00004195,491520,5.79
241,13.818336,,0.00004065,493568,5.81
242,14.051455,,0.00003937,495616,5.83
243,13.871305,,0.00003811,497664,5.85
244,14.085908,,0.00003686,499712,5.87
245,13.883930,,0.00003563,501760,5.89
246,14.175145,,0.00003442,503808,5.91
247,14.223081,,0.00003323,505856,5.93
248,14.005877,,0.00003206,507904,5.95
249,13.994666,,0.00003090,509952,5.97
250,13.925099,7.040647,0.00002976,512000,6.12
251,14.040139,,0.00002865,514048,6.14
252,13.913459,,0.00002755,516096,6.17
253,14.068321,,0.00002647,518144,6.19
254,13.878398,,0.00002541,520192,6.21
255,14.005011,,0.00002437,522240,6.23
256,13.813793,,0.00002335,524288,6.25
257,14.178788,,0.00002235,526336,6.27
258,13.973654,,0.00002137,528384,6.29
259,14.139753,,0.00002041,530432,6.31
260,14.158480,,0.00001947,532480,6.33
261,14.002222,,0.00001855,534528,6.35
262,13.889862,,0.00001766,536576,6.37
263,13.933683,,0.00001678,538624,6.39
264,14.170512,,0.00001592,540672,6.41
265,13.910402,,0.00001509,542720,6.43
266,14.155220,,0.00001428,544768,6.45
267,14.080818,,0.00001348,546816,6.47
268,13.853337,,0.00001271,548864,6.49
269,14.187327,,0.00001197,550912,6.51
270,14.083407,,0.00001124,552960,6.53
271,14.046313,,0.00001053,555008,6.55
272,14.032810,,0.00000985,557056,6.57
273,13.998858,,0.00000919,559104,6.59
274,13.917777,,0.00000855,561152,6.62
275,13.943711,,0.00000794,563200,6.64
276,14.103459,,0.00000734,565248,6.66
277,13.966262,,0.00000677,567296,6.68
278,13.996699,,0.00000622,569344,6.70
279,14.084914,,0.00000570,571392,6.72
280,13.962554,,0.00000519,573440,6.74
281,14.119095,,0.00000471,575488,6.76
282,14.021358,,0.00000426,577536,6.78
283,13.707366,,0.00000382,579584,6.80
284,14.016167,,0.00000341,581632,6.82
285,13.938033,,0.00000302,583680,6.84
286,13.858012,,0.00000266,585728,6.86
287,13.940166,,0.00000232,587776,6.88
288,13.972709,,0.00000200,589824,6.91
289,13.680025,,0.00000170,591872,6.93
290,14.178300,,0.00000143,593920,6.95
291,14.046466,,0.00000118,595968,6.97
292,14.048914,,0.00000096,598016,6.99
293,14.069285,,0.00000076,600064,7.01
294,14.274934,,0.00000058,602112,7.03
295,13.999769,,0.00000043,604160,7.05
296,14.063889,,0.00000030,606208,7.07
297,14.182166,,0.00000019,608256,7.09
298,14.097575,,0.00000011,610304,7.11
299,14.232815,,0.00000005,612352,7.13
300,14.056480,7.051067,0.00000001,614400,7.25
