step,train_loss,val_loss,lr,tokens_seen,elapsed_sec
151,15.584824,,0.00019635,309248,2.86
152,15.465208,,0.00019456,311296,2.87
153,15.464882,,0.00019275,313344,2.89
154,15.491276,,0.00019094,315392,2.90
155,15.387857,,0.00018913,317440,2.92
156,15.382301,,0.00018730,319488,2.93
157,15.485241,,0.00018547,321536,2.95
158,15.416035,,0.00018364,323584,2.96
159,15.480738,,0.00018180,325632,2.98
160,15.572401,,0.00017996,327680,2.99
161,15.532007,,0.00017811,329728,3.01
162,15.469036,,0.00017625,331776,3.02
163,15.520794,,0.00017440,333824,3.04
164,15.370638,,0.00017253,335872,3.05
165,15.502956,,0.00017067,337920,3.07
166,15.506710,,0.00016880,339968,3.08
167,15.354786,,0.00016693,342016,3.10
168,15.497353,,0.00016505,344064,3.11
169,15.425289,,0.00016318,346112,3.13
170,15.278044,,0.00016130,348160,3.14
171,15.269852,,0.00015942,350208,3.16
172,15.513235,,0.00015754,352256,3.17
173,15.380068,,0.00015565,354304,3.19
174,15.704601,,0.00015377,356352,3.20
175,15.219530,,0.00015188,358400,3.22
176,15.310778,,0.00015000,360448,3.23
177,15.470663,,0.00014812,362496,3.25
178,15.454391,,0.00014623,364544,3.26
179,15.315386,,0.00014435,366592,3.28
180,15.665411,,0.00014246,368640,3.29
181,15.383442,,0.00014058,370688,3.31
182,15.399017,,0.00013870,372736,3.32
183,15.474247,,0.00013682,374784,3.34
184,15.275805,,0.00013495,376832,3.35
185,15.330191,,0.00013307,378880,3.37
186,15.321249,,0.00013120,380928,3.38
187,15.410086,,0.00012933,382976,3.40
188,15.286621,,0.00012747,385024,3.41
189,15.425768,,0.00012560,387072,3.43
190,15.392481,,0.00012375,389120,3.44
191,15.331926,,0.00012189,391168,3.46
192,15.527023,,0.00012004,393216,3.47
193,15.494278,,0.00011820,395264,3.49
194,15.456102,,0.00011636,397312,3.50
195,15.267954,,0.00011453,399360,3.51
196,15.185745,,0.00011270,401408,3.53
197,15.436813,,0.00011087,403456,3.54
198,15.428493,,0.00010906,405504,3.56
199,15.488068,,0.00010725,407552,3.57
200,15.182501,7.637337,0.00010544,409600,3.68
201,15.379484,,0.00010365,411648,3.70
202,15.279001,,0.00010186,413696,3.71
203,15.306732,,0.00010008,415744,3.73
204,15.442799,,0.00009830,417792,3.74
205,15.396904,,0.00009654,419840,3.76
206,15.330757,,0.00009478,421888,3.77
207,15.379986,,0.00009303,423936,3.79
208,15.370581,,0.00009129,425984,3.80
209,15.430973,,0.00008956,428032,3.82
210,15.324247,,0.00008784,430080,3.84
211,15.401281,,0.00008613,432128,3.85
212,15.323931,,0.00008443,434176,3.87
213,15.327284,,0.00008274,436224,3.88
214,15.459787,,0.00008106,438272,3.90
215,15.281654,,0.00007939,440320,3.91
216,15.478785,,0.00007774,442368,3.93
217,15.249056,,0.00007609,444416,3.94
218,15.278204,,0.00007446,446464,3.95
219,15.362009,,0.00007283,448512,3.97
220,15.449387,,0.00007122,450560,3.99
221,15.392632,,0.00006963,452608,4.00
222,15.163433,,0.00006804,454656,4.02
223,15.160000,,0.00006647,456704,4.03
224,15.250832,,0.00006491,458752,4.05
225,15.347527,,0.00006336,460800,4.07
226,15.513771,,0.00006183,462848,4.08
227,15.298594,,0.00006031,464896,4.10
228,15.383669,,0.00005881,466944,4.11
229,15.362513,,0.00005732,468992,4.13
230,15.464235,,0.00005585,471040,4.14
231,15.529264,,0.00005439,473088,4.16
232,15.554451,,0.00005294,475136,4.17
233,15.475704,,0.00005151,477184,4.19
234,15.295612,,0.00005010,479232,4.20
235,15.316019,,0.00004870,481280,4.22
236,15.342293,,0.00004732,483328,4.23
237,15.309414,,0.00004595,485376,4.25
238,15.356583,,0.00004460,487424,4.26
239,15.398642,,0.00004327,489472,4.28
240,15.362587,,0.00004195,491520,4.29
241,15.331766,,0.00004065,493568,4.31
242,15.439009,,0.00003937,495616,4.33
243,15.232073,,0.00003811,497664,4.35
244,15.359257,,0.00003686,499712,4.38
245,15.227131,,0.00003563,501760,4.40
246,15.256588,,0.00003442,503808,4.42
247,15.509678,,0.00003323,505856,4.44
248,15.342197,,0.00003206,507904,4.45
249,15.244339,,0.00003090,509952,4.47
250,15.318933,7.600170,0.00002976,512000,4.58
251,15.202929,,0.00002865,514048,4.59
252,15.248667,,0.00002755,516096,4.61
253,15.294693,,0.00002647,518144,4.63
254,15.435326,,0.00002541,520192,4.64
255,15.485804,,0.00002437,522240,4.66
256,15.313288,,0.00002335,524288,4.67
257,15.268606,,0.00002235,526336,4.69
258,15.235817,,0.00002137,528384,4.70
259,15.285847,,0.00002041,530432,4.72
260,15.188421,,0.00001947,532480,4.73
261,15.220589,,0.00001855,534528,4.75
262,15.380615,,0.00001766,536576,4.76
263,15.251419,,0.00001678,538624,4.78
264,15.306618,,0.00001592,540672,4.79
265,15.267962,,0.00001509,542720,4.81
266,15.267035,,0.00001428,544768,4.82
