step,train_loss,val_loss,lr,tokens_seen,elapsed_sec
1,19.455597,9.734903,0.00000600,2048,0.36
2,19.456070,,0.00001200,4096,0.38
3,19.473083,,0.00001800,6144,0.40
4,19.472000,,0.00002400,8192,0.42
5,19.463043,,0.00003000,10240,0.44
6,19.445747,,0.00003600,12288,0.46
7,19.437286,,0.00004200,14336,0.48
8,19.433296,,0.00004800,16384,0.50
9,19.397858,,0.00005400,18432,0.52
10,19.421700,,0.00006000,20480,0.54
11,19.362274,,0.00006600,22528,0.56
12,19.367851,,0.00007200,24576,0.58
13,19.315483,,0.00007800,26624,0.61
14,19.267998,,0.00008400,28672,0.63
15,19.233452,,0.00009000,30720,0.65
16,19.181717,,0.00009600,32768,0.67
17,19.191456,,0.00010200,34816,0.69
18,19.104919,,0.00010800,36864,0.71
19,19.056404,,0.00011400,38912,0.73
20,19.013943,,0.00012000,40960,0.75
21,18.919979,,0.00012600,43008,0.77
22,18.947983,,0.00013200,45056,0.79
23,18.820290,,0.00013800,47104,0.81
24,18.796520,,0.00014400,49152,0.83
25,18.701244,,0.00015000,51200,0.85
26,18.699413,,0.00015600,53248,0.87
27,18.640034,,0.00016200,55296,0.89
28,18.615517,,0.00016800,57344,0.92
29,18.577316,,0.00017400,59392,0.94
30,18.498665,,0.00018000,61440,0.96
31,18.456009,,0.00018600,63488,0.98
32,18.476982,,0.00019200,65536,1.00
33,18.302383,,0.00019800,67584,1.02
34,18.386448,,0.00020400,69632,1.04
35,18.269329,,0.00021000,71680,1.06
36,18.177174,,0.00021600,73728,1.08
37,18.120636,,0.00022200,75776,1.10
38,18.182476,,0.00022800,77824,1.12
39,18.010948,,0.00023400,79872,1.14
40,17.958641,,0.00024000,81920,1.16
41,17.946632,,0.00024600,83968,1.18
42,17.794426,,0.00025200,86016,1.20
43,17.864159,,0.00025800,88064,1.22
44,17.704887,,0.00026400,90112,1.24
45,17.752373,,0.00027000,92160,1.26
46,17.615025,,0.00027600,94208,1.29
47,17.542690,,0.00028200,96256,1.31
48,17.449383,,0.00028800,98304,1.33
49,17.481125,,0.00029400,100352,1.35
50,17.498859,8.622160,0.00030000,102400,1.49
51,17.287743,,0.00030000,104448,1.51
52,17.351116,,0.00029999,106496,1.53
53,17.182850,,0.00029995,108544,1.55
54,17.211784,,0.00029989,110592,1.57
55,17.248180,,0.00029981,112640,1.59
56,17.058643,,0.00029970,114688,1.61
57,16.990219,,0.00029957,116736,1.63
58,17.121174,,0.00029942,118784,1.65
59,17.044624,,0.00029924,120832,1.68
60,16.921032,,0.00029904,122880,1.70
61,16.949444,,0.00029882,124928,1.72
62,16.892490,,0.00029857,126976,1.74
63,16.742771,,0.00029830,129024,1.76
