step,train_loss,val_loss,bpc,lr,tokens_seen,tokens_per_sec,peak_vram_gb,elapsed_sec
97,31.359377,,,0.00002910,3178496,46621.94,2.6403,68.18
98,31.320774,,,0.00002940,3211264,46687.97,2.6403,68.78
99,31.193288,,,0.00002970,3244032,46753.11,2.6403,69.39
100,31.198797,,,0.00003000,3276800,46816.11,2.6403,69.99
101,31.220603,,,0.00003030,3309568,46878.57,2.6403,70.60
102,31.094472,,,0.00003060,3342336,46940.62,2.6403,71.20
103,31.036534,,,0.00003090,3375104,46999.90,2.6403,71.81
104,30.998637,,,0.00003120,3407872,47059.33,2.6403,72.42
105,30.904284,,,0.00003150,3440640,47116.88,2.6403,73.02
106,30.955892,,,0.00003180,3473408,47173.60,2.6403,73.63
107,30.778424,,,0.00003210,3506176,47229.50,2.6403,74.24
108,30.756312,,,0.00003240,3538944,47284.42,2.6403,74.84
109,30.768490,,,0.00003270,3571712,47339.57,2.6403,75.45
110,30.766201,,,0.00003300,3604480,47393.12,2.6403,76.05
111,30.666753,,,0.00003330,3637248,47445.72,2.6403,76.66
112,30.792109,,,0.00003360,3670016,47497.45,2.6403,77.27
113,30.631804,,,0.00003390,3702784,47548.46,2.6403,77.87
114,30.524330,,,0.00003420,3735552,47598.47,2.6403,78.48
115,30.355063,,,0.00003450,3768320,47647.62,2.6403,79.09
116,30.502720,,,0.00003480,3801088,47696.33,2.6403,79.69
117,30.398463,,,0.00003510,3833856,47744.11,2.6403,80.30
118,30.324963,,,0.00003540,3866624,47791.24,2.6403,80.91
119,30.188895,,,0.00003570,3899392,47837.89,2.6403,81.51
120,30.216499,,,0.00003600,3932160,47883.94,2.6403,82.12
121,30.307928,,,0.00003630,3964928,47929.69,2.6403,82.72
122,30.021588,,,0.00003660,3997696,47974.24,2.6403,83.33
123,30.116549,,,0.00003690,4030464,48017.58,2.6403,83.94
124,30.088720,,,0.00003720,4063232,48060.55,2.6403,84.54
125,30.020331,,,0.00003750,4096000,48103.96,2.6403,85.15
126,29.894413,,,0.00003780,4128768,48145.55,2.6403,85.76
127,29.890037,,,0.00003810,4161536,48183.34,2.6403,86.37
128,29.828121,,,0.00003840,4194304,48219.13,2.6403,86.98
129,29.858253,,,0.00003870,4227072,48258.42,2.6403,87.59
130,29.739832,,,0.00003900,4259840,48298.33,2.6403,88.20
131,29.645378,,,0.00003930,4292608,48336.49,2.6403,88.81
132,29.659677,,,0.00003960,4325376,48375.06,2.6403,89.41
133,29.500402,,,0.00003990,4358144,48413.32,2.6403,90.02
134,29.359456,,,0.00004020,4390912,48449.13,2.6403,90.63
135,29.535767,,,0.00004050,4423680,48482.76,2.6403,91.24
136,29.478753,,,0.00004080,4456448,48519.11,2.6403,91.85
137,29.358948,,,0.00004110,4489216,48553.98,2.6403,92.46
138,29.334905,,,0.00004140,4521984,48587.50,2.6403,93.07
139,29.338259,,,0.00004170,4554752,48622.43,2.6403,93.68
140,29.241154,,,0.00004200,4587520,48656.49,2.6403,94.28
141,29.169568,,,0.00004230,4620288,48690.11,2.6403,94.89
142,29.013453,,,0.00004260,4653056,48722.88,2.6403,95.50
143,29.075712,,,0.00004290,4685824,48755.29,2.6403,96.11
144,29.119751,,,0.00004320,4718592,48787.04,2.6403,96.72
145,28.865089,,,0.00004350,4751360,48819.19,2.6403,97.33
146,28.815384,,,0.00004380,4784128,48850.64,2.6403,97.93
147,28.908411,,,0.00004410,4816896,48881.77,2.6403,98.54
148,28.836643,,,0.00004440,4849664,48913.08,2.6403,99.15
149,28.924236,,,0.00004470,4882432,48943.49,2.6403,99.76
150,28.832268,,,0.00004500,4915200,48973.54,2.6403,100.36
151,28.691051,,,0.00004530,4947968,49003.08,2.6403,100.97
152,28.583938,,,0.00004560,4980736,49032.57,2.6403,101.58
153,28.685868,,,0.00004590,5013504,49061.59,2.6403,102.19
154,28.606065,,,0.00004620,5046272,49090.26,2.6403,102.80
155,28.593472,,,0.00004650,5079040,49118.41,2.6403,103.40
156,28.471408,,,0.00004680,5111808,49146.26,2.6403,104.01
157,28.539845,,,0.00004710,5144576,49173.69,2.6403,104.62
158,28.498601,,,0.00004740,5177344,49200.94,2.6403,105.23
159,28.534193,,,0.00004770,5210112,49228.21,2.6403,105.84
160,28.529318,,,0.00004800,5242880,49254.95,2.6403,106.44
161,28.287050,,,0.00004830,5275648,49281.29,2.6403,107.05
162,28.346488,,,0.00004860,5308416,49307.10,2.6403,107.66
163,28.426155,,,0.00004890,5341184,49332.18,2.6403,108.27
164,28.245842,,,0.00004920,5373952,49356.21,2.6403,108.88
165,28.293256,,,0.00004950,5406720,49380.77,2.6403,109.49
166,28.361039,,,0.00004980,5439488,49405.18,2.6403,110.10
167,28.101953,,,0.00005010,5472256,49428.88,2.6403,110.71
168,28.217669,,,0.00005040,5505024,49452.57,2.6403,111.32
